id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,class
PHGDH,PHGDH,1.55685,1.11e-16,Enzyme: Dehydrogenase,BrainSpLMD|26227,"OMIM|606879;HPO|26227|Ablepharon, Abnormality of the philtrum, Absent eyelashes, Absent septum pellucidum, Adducted thumb, Agenesis of corpus callosum, Ambiguous genitalia, Aplasia/Hypoplasia involving the skeletal musculature, Autosomal recessive inheritance, Bifid uterus, Broad foot, Calcaneovalgus deformity, Camptodactyly, Cataract, Cerebellar hypoplasia, Cerebral dysmyelination, Choroid plexus cyst, Cleft palate, Cleft upper lip, Clinodactyly, Congenital cataract, Congenital microcephaly, Cryptorchidism, Dandy-Walker malformation, Decreased fetal movement, Decreased testicular size, Depressed nasal ridge, Everted lower lip vermilion, External genital hypoplasia, Finger syndactyly, Generalized edema, Growth delay, Hydranencephaly, Hypertelorism, Hypogonadism, Hypsarrhythmia, Ichthyosis, Intellectual disability, Intrauterine growth retardation, Joint contracture of the hand, Lack of skin elasticity, Large hands, Lissencephaly, Macrogyria, Macrotia, Megaloblastic anemia, Microcephaly, Micrognathia, Micromelia, Microphthalmia, Muscle cramps, Muscular dystrophy, Nystagmus, Opisthotonus, Pachygyria, Patent ductus arteriosus, Patent foramen ovale, Polyhydramnios, Polymicrogyria, Proptosis, Pterygium, Pulmonary hypoplasia, Radial deviation of finger, Renal agenesis, Rocker bottom foot, Seizures, Short neck, Short umbilical cord, Skeletal muscle atrophy, Sloping forehead, Small placenta, Spastic tetraplegia, Spina bifida, Stillbirth, Thick lower lip vermilion, Thick vermilion border, Thrombocytopenia, Toe syndactyly, Transposition of the great arteries, Trismus, Ventricular septal defect, Yellow subcutaneous tissue covered by thin, scaly skin",oRG
CRYZ,CRYZ,1.55296,9.8e-13,Enzyme: Oxidoreductase,BrainSpLMD|1429,OMIM|123691,oRG
TTC8,TTC8,1.55032,1.59e-07,Unclassified,"BrainSpLMD|123016;Eurexp|euxassay_003120|olfactory, ventricular layer","OMIM|608132;HPO|123016|Abnormal electroretinogram, Abnormal light- and dark-adapted electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Attenuation of retinal blood vessels, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Bone spicule pigmentation of the retina, Brachycephaly, Cataract, Cognitive impairment, Conductive hearing impairment, Glaucoma, Global developmental delay, Hyperinsulinemia, Hypertension, Hypogonadism, Hypoplasia of penis, Hypoplasia of the ovary, Hypospadias, Intellectual disability, Keratoconus, Macular degeneration, Multicystic kidney dysplasia, Nyctalopia, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Pigmentary retinopathy, Polydactyly, Postaxial hand polydactyly, Progressive night blindness, Reduced visual acuity, Rod-cone dystrophy, Sensorineural hearing impairment, Severe Myopia, Short stature, Visual impairment, Wide nasal bridge",oRG
NFE2L1,NFE2L1,1.54614,2.05e-09,Transcription factor,BrainSpLMD|4779;BrainSpMouseDev|17790,OMIM|163260,oRG
PHF11,PHF11,1.54535,2.34e-08,DNA binding protein,"BrainSpLMD|51131;Eurexp|euxassay_003051|axial muscle, incisor, orbito-sphenoid, submandibular gland primordium, thymus primordium, vibrissa",OMIM|607796,oRG
CYP51A1,CYP51A1,1.54452,0,Unclassified,"BrainSpLMD|1595;Eurexp|euxassay_010645|adrenal gland, brain, cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, incisor, mandible, maxilla, molar, neural retina, spinal cord, testis, thoracic, trigeminal V, vibrissa",OMIM|601637,oRG
VCL,VCL,1.54177,1.54e-11,Cytoskeletal associated protein,BrainSpLMD|7414,"OMIM|193065;HPO|7414|Autosomal dominant inheritance, Congestive heart failure, Dilated cardiomyopathy, Dyspnea, Endocardial fibrosis, Hypertrophic cardiomyopathy",oRG
PLTP,PLTP,1.54083,7.81e-13,Transport/cargo protein,BrainSpLMD|5360,OMIM|172425,oRG
PON2,PON2,1.53987,0,Enzyme: Esterase,BrainSpLMD|5445,"OMIM|602447;HPO|5445|Amyotrophic lateral sclerosis, Anxiety, Depressivity, Dyspnea, Emotional lability, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Generalized muscle weakness, Muscle cramps, Neurodegeneration, Pain, Paralysis, Respiratory failure, Skeletal muscle atrophy, Spasticity, Xerostomia",oRG
ZFP36L2,ZFP36L2,1.539,0,Transcription factor,BrainSpLMD|678,OMIM|612053,oRG
FAM120C,FAM120C,1.53476,1.19e-06,Integral membrane protein,BrainSpLMD|54954,OMIM|300741,oRG
AXL,AXL,1.5337,0,Receptor tyrosine kinase,"BrainSpLMD|558;Eurexp|euxassay_001756|cardiovascular system, gland, head mesenchyme, integumental system, mesenchyme, skeleton, tail, vertebral axis muscle system, visceral organ;BrainSpMouseDev|26110","OMIM|109135;HPO|558|Autosomal dominant inheritance, Autosomal recessive inheritance, Cryptorchidism, Decreased testicular size, Gynecomastia, Hypogonadotrophic hypogonadism, Micropenis, Primary amenorrhea, Sparse axillary hair, Sparse pubic hair",oRG
SALL3,SALL3,1.52796,0,DNA binding protein,"BrainSpLMD|27164;Eurexp|euxassay_010911|cochlea, glomeruli, inner ear, lip, mantle layer, medulla oblongata, palatal shelf, penis, utricle, valve, ventricular layer;BrainSpMouseDev|20451",OMIM|605079,oRG
LGALS3BP,LGALS3BP,1.52565,0,Extracellular matrix protein,"BrainSpLMD|3959;Eurexp|euxassay_002816|axial muscle, choroid plexus, foregut-midgut junction, hindgut, integumental system, lateral recess, lobe, midgut, pancreas, rectum, renal/urinary system, stomach, thymus primordium",OMIM|600626,oRG
BOC,BOC,1.52394,1.03e-07,Cell surface receptor,"BrainSpLMD|91653;Eurexp|euxassay_005272|intermediate grey horn, mantle layer, marginal layer, mesenchyme, trachea, ventricular layer;BrainSpMouseDev|78669",OMIM|608708,oRG
CREB5,CREB5,1.52356,0,Transcription factor,"BrainSpLMD|9586;Eurexp|euxassay_016386|axial skeleton, oral epithelium","",oRG
SPATA6,SPATA6,1.52326,2.27e-11,Unclassified,BrainSpLMD|54558,OMIM|613947,oRG
DNMBP,DNMBP,1.51615,2.32e-06,Guanine nucleotide exchange factor,BrainSpLMD|23268;Eurexp|euxassay_016234|lens,OMIM|611282,oRG
CTD.2514C3.1,CTD.2514C3.1,1.51173,5.16e-13,"","","",oRG
HS6ST2,HS6ST2,1.50124,6.66e-16,Enzyme: Sulphotransferase,"BrainSpLMD|90161;Eurexp|euxassay_014425|mantle layer, metatarsus, phalanx, ventral grey horn",OMIM|300545,oRG
PTPRG,PTPRG,1.50111,9.77e-14,Receptor tyrosine phosphatase,BrainSpLMD|5793,OMIM|176886,oRG
PRDM16,PRDM16,1.49934,0,Transcription factor,BrainSpLMD|63976,"OMIM|605557;COSMIC||MDS, AML;HPO|63976|Abnormal morphology of the left ventricle, Absent speech, Agenesis of corpus callosum, Autism, Autosomal dominant inheritance, Brachycephaly, Brachydactyly, Camptodactyly of finger, Cerebral cortical atrophy, Clinodactyly of the 5th finger, Congestive heart failure, Constipation, Deeply set eye, Delayed cranial suture closure, Depressed nasal bridge, Depressed nasal ridge, Dilated cardiomyopathy, Dysphagia, EEG abnormality, Epicanthus, Failure to thrive, Feeding difficulties in infancy, Gait disturbance, Gastroesophageal reflux, Global developmental delay, High-grade hypermetropia, Horizontal eyebrow, Intellectual disability, Left ventricular noncompaction, Long philtrum, Low-set, posteriorly rotated ears, Microcephaly, Midface retrusion, Muscular hypotonia, Narrow mouth, Pointed chin, Poor speech, Seizures, Self-injurious behavior, Short foot, Stereotypy, Strabismus, Ventriculomegaly, Wide nasal bridge",oRG
DHCR24,DHCR24,1.49019,4.89e-13,Enzyme: Reductase,"BrainSpLMD|1718;Eurexp|euxassay_011628|adrenal gland, cervical, cervico-thoracic, cortex, dorsal root ganglion, facial VII, glossopharyngeal IX, hindgut, incisor, lobe, lung, mantle layer, marginal layer, midgut, molar, neural retina, olfactory, pharyngo-tympanic tube, rectum, respiratory, stomach, submandibular gland primordium, thoracic, thymus primordium, thyroid, trigeminal V, vagus X, ventral grey horn, ventricular layer, vibrissa, vomeronasal organ","OMIM|606418;HPO|1718|Absent septum pellucidum, Agenesis of corpus callosum, Anteverted nares, Arthrogryposis multiplex congenita, Autosomal recessive inheritance, Bifid uvula, Depressed nasal bridge, Failure to thrive, Feeding difficulties, Hydrocephalus, Intellectual disability, Intrauterine growth retardation, Large earlobe, Low-set, posteriorly rotated ears, Microcephaly, Micrognathia, Muscle stiffness, Narrow mouth, Nystagmus, Partial agenesis of the corpus callosum, Phenotypic variability, Relative macrocephaly, Retrognathia, Rigidity, Seizures, Severe short stature, Short nose, Spasticity, Status epilepticus, Strabismus, Submucous cleft hard palate, Ventriculomegaly",oRG
LGALS3,LGALS3,1.48621,0,Transcription regulatory protein,BrainSpLMD|3958,OMIM|153619,oRG
DOCK1,DOCK1,1.48574,0,Guanine nucleotide exchange factor,BrainSpLMD|1793,"SFARI||Autism, 4 - Minimal evidence;OMIM|601403",oRG
ABHD3,ABHD3,1.48366,1.29e-07,Unclassified,"BrainSpLMD|171586;Eurexp|euxassay_005011|choroid plexus, lateral recess, mantle layer, olfactory, urethra",OMIM|612197,oRG
NOTCH3,NOTCH3,1.48255,0,Cell surface receptor,BrainSpLMD|4854;BrainSpMouseDev|17898,"OMIM|600276;HPO|4854|Abnormal electroretinogram, Abnormal form of the vertebral bodies, Abnormality of the hair, Abnormality of the metaphysis, Abnormality of the middle ear ossicles, Abnormality of the musculature, Abnormality of the rib cage, Abnormality of the skin, Abnormality of the skull, Abnormality of the thorax, Abnormality of visual evoked potentials, Adult onset, Amaurosis fugax, Aphasia, Arachnoid cyst, Arnold-Chiari type I malformation, Atresia of the external auditory canal, Autosomal dominant inheritance, Biconcave vertebral bodies, Bone cyst, Cerebral cortical atrophy, Cerebral ischemia, Chondrocalcinosis, Coarse hair, Coma, Conductive hearing impairment, Confusion, Cranial nerve paralysis, Craniofacial hyperostosis, Cryptorchidism, Dementia, Dental crowding, Depressivity, Developmental regression, Dolichocephaly, Downslanted palpebral fissures, Dural ectasia, EEG abnormality, Elevated serum creatine phosphokinase, Fever, Gait disturbance, Generalized hypotonia, Gingival fibromatosis, Hemiplegia, High palate, High, narrow palate, Hypertelorism, Impaired pain sensation, Inguinal hernia, Joint hyperflexibility, Joint hypermobility, Kyphosis, Leukoencephalopathy, Long philtrum, Low posterior hairline, Low-set ears, Malar flattening, Memory impairment, Meningocele, Micrognathia, Migraine, Motor delay, Narrow face, Neoplasm of the lung, Neoplasm of the skin, Nonarteritic anterior ischemic optic neuropathy, Patent ductus arteriosus, Pectus excavatum, Platybasia, Posteriorly rotated ears, Prominent metopic ridge, Pseudobulbar paralysis, Ptosis, Recurrent subcortical infarcts, Retinal arteriolar tortuosity, Sclerosis of skull base, Scoliosis, Seizures, Sensory neuropathy, Short nasal bridge, Short neck, Short stature, Smooth philtrum, Spasticity, Stroke, Subcortical dementia, Subcutaneous nodule, Syringomyelia, Umbilical hernia, Urinary incontinence, Varicose veins, Vertebral fusion, Visual impairment, Wormian bones",oRG
DOK5,DOK5,1.48077,0,Adapter molecule,BrainSpLMD|55816,OMIM|608334,oRG
DENND1A,DENND1A,1.4799,1.33e-15,Unclassified,BrainSpLMD|57706,OMIM|613633,oRG
HMGCS1,HMGCS1,1.4782,0,Enzyme: Synthase,BrainSpLMD|3157,OMIM|142940,oRG
SLC2A3,SLC2A3,1.47783,1.11e-16,Membrane transport protein,BrainSpLMD|6515,"OMIM|138170;HPO|6515|Abnormality of movement, Abnormality of the voice, Behavioral abnormality, Cerebral cortical atrophy, Dementia, Developmental regression, EEG abnormality, Spasticity",oRG
FAM171B,FAM171B,1.4774,0,Integral membrane protein,"BrainSpLMD|165215;Eurexp|euxassay_008581|dorsal root ganglion, glossopharyngeal IX, mantle layer, olfactory, trigeminal V, ventricular layer, vestibulocochlear VIII","",oRG
TPM2,TPM2,1.47622,2.64e-07,Cytoskeletal protein,BrainSpLMD|7169,"OMIM|190990;HPO|7169|Abnormality of the ear, Abnormality of the hip bone, Absent phalangeal crease, Adducted thumb, Aplasia/Hypoplasia of the radius, Arthrogryposis multiplex congenita, Autosomal dominant inheritance, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Bulbar palsy, Calcaneovalgus deformity, Camptodactyly, Camptodactyly of finger, Centrally nucleated skeletal muscle fibers, Childhood onset, Congenital onset, Decreased fetal movement, Difficulty walking, Dilated cardiomyopathy, Distal arthrogryposis, Downslanted palpebral fissures, Dysphagia, Elbow flexion contracture, Facial diplegia, Facial palsy, Failure to thrive, Feeding difficulties, Feeding difficulties in infancy, Flexion contracture, Generalized hypotonia, Generalized muscle weakness, Gowers sign, Heterogeneous, High palate, Hyporeflexia, Joint stiffness, Kyphoscoliosis, Limb muscle weakness, Long face, Long philtrum, Lumbar hyperlordosis, Mandibular prognathia, Metatarsus adductus, Micrognathia, Motor delay, Muscular hypotonia, Myopathic facies, Myopathy, Narrow face, Narrow mouth, Neck muscle weakness, Nemaline bodies, Neonatal hypotonia, Overlapping fingers, Pectus excavatum, Prominent nasolabial fold, Protruding ear, Proximal muscle weakness, Ptosis, Recurrent respiratory infections, Reduced tendon reflexes, Reduced vital capacity, Respiratory insufficiency, Respiratory insufficiency due to muscle weakness, Rocker bottom foot, Round ear, Scapular winging, Scoliosis, Short neck, Short stature, Skeletal muscle atrophy, Talipes, Talipes equinovarus, Tarsal synostosis, Triangular face, Type 1 fibers relatively smaller than type 2 fibers, Type 1 muscle fiber predominance, Ulnar deviation of finger, Ulnar deviation of the hand or of fingers of the hand, Ulnar deviation of the wrist, Variable expressivity, Vertebral segmentation defect, Waddling gait, Weak cry, Webbed neck, Wide nasal bridge",oRG
AKAP12,AKAP12,1.46737,0,Anchor protein,BrainSpLMD|9590,OMIM|604698,oRG
DHCR7,DHCR7,1.46612,5.1e-14,Enzyme: Reductase,"BrainSpLMD|1717;Eurexp|euxassay_015508|adrenal gland, neural retina, stroma","SFARI||Autism, No category;OMIM|602858;HPO|1717|2-3 toe syndactyly, Abnormal dermatoglyphics, Abnormal lung lobation, Abnormality of dental morphology, Abnormality of the larynx, Abnormality of the metacarpal bones, Aganglionic megacolon, Aggressive behavior, Ambiguous genitalia, Anteverted nares, Aplasia/Hypoplasia of the cerebellum, Atrial septal defect, Atrioventricular canal defect, Attention deficit hyperactivity disorder, Autism, Autosomal recessive inheritance, Bicornuate uterus, Bifid scrotum, Biparietal narrowing, Breech presentation, Broad alveolar ridges, Cataract, Cholestatic liver disease, Cleft palate, Clitoral hypertrophy, Coarctation of aorta, Constipation, Cryptorchidism, Cutaneous photosensitivity, Cutis marmorata, Dandy-Walker malformation, Decreased fetal movement, Dental crowding, Depressed nasal bridge, Eczema, Elevated 7-dehydrocholesterol, Epicanthus, Epiphyseal stippling, Excessive daytime somnolence, Facial capillary hemangioma, Failure to thrive, Feeding difficulties in infancy, Gastroesophageal reflux, Gastrointestinal dysmotility, Generalized hypotonia, Gingival overgrowth, Global developmental delay, Hammertoe, Hearing impairment, Hip dislocation, Hip subluxation, Holoprosencephaly, Hydrocephalus, Hydronephrosis, Hyperactivity, Hypertelorism, Hypertonia, Hypocholesterolemia, Hypoplasia of penis, Hypoplasia of the corpus callosum, Hypoplasia of the frontal lobes, Hypospadias, Increased nuchal translucency, Intellectual disability, Intestinal malrotation, Intrauterine growth retardation, Long philtrum, Low-set ears, Low-set, posteriorly rotated ears, Metatarsus adductus, Microcephaly, Microglossia, Micrognathia, Micromelia, Micropenis, Muscular hypotonia, Narrow forehead, Nystagmus, Overlapping toe, Patent ductus arteriosus, Periventricular gray matter heterotopia, Polyhydramnios, Poor suck, Postaxial foot polydactyly, Postaxial hand polydactyly, Posteriorly rotated ears, Precocious puberty, Premature birth, Proximal placement of thumb, Ptosis, Pulmonary hypoplasia, Pyloric stenosis, Recurrent infections, Recurrent otitis media, Renal agenesis, Renal cyst, Renal hypoplasia, Scrotal hypoplasia, Seizures, Self-injurious behavior, Self-mutilation, Septate vagina, Severe photosensitivity, Short neck, Short stature, Short thumb, Short toe, Sleep-wake cycle disturbance, Strabismus, Talipes calcaneovalgus, Tracheal stenosis, Ureteropelvic junction obstruction, Ventricular septal defect, Ventriculomegaly, Vomiting, Wide intermamillary distance, Wide mouth, Wide nasal bridge",oRG
TRPS1,TRPS1,1.46033,0,Transcription factor,"BrainSpLMD|7227;Eurexp|euxassay_011487|axial skeleton, basioccipital bone, basisphenoid bone, bladder, clavicle, cornea, cricoid, diaphragm, dorsal grey horn, exoccipital bone, femur, humerus, knee, lip, mandible, mantle layer, marginal layer, maxilla, mesenchyme, metanephros, midgut, molar, nasal septum, orbito-sphenoid, otic capsule, pelvic girdle, rib, skeletal muscle, sternum, stomach, submandibular gland primordium, thyroid, tongue, trachea, ureter, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|58142","OMIM|604386;HPO|7227|Abnormality of the nervous system, Abnormally low-pitched voice, Accelerated bone age after puberty, Aplasia/Hypoplasia of the mandible, Arthralgia, Autosomal dominant inheritance, Avascular necrosis of the capital femoral epiphysis, Bone pain, Bulbous nose, Camptodactyly of finger, Carious teeth, Chin with horizontal crease, Clinodactyly of the 5th finger, Concave nail, Cone-shaped epiphyses of the middle phalanges of the hand, Cone-shaped epiphyses of the phalanges of the hand, Cone-shaped epiphyses of the proximal phalanges of the hand, Cone-shaped epiphysis, Coxa magna, Deep philtrum, Delayed eruption of teeth, Delayed skeletal maturation, Dental crowding, Dental malocclusion, Fine hair, Flat capital femoral epiphysis, Fragile nails, Frontal bossing, Generalized hypotonia, High palate, Hyperlordosis, Increased number of teeth, Infantile muscular hypotonia, Intellectual disability, Ivory epiphyses of the distal phalanges of the hand, Joint dislocation, Joint hyperflexibility, Leukonychia, Long philtrum, Long upper lip, Low-set, posteriorly rotated ears, Macrotia, Microdontia, Micrognathia, Multiple long-bone exostoses, Muscular hypotonia, Narrow palate, Osteoarthritis, Osteopenia, Pear-shaped nose, Pectus carinatum, Pes planus, Protruding ear, Recurrent respiratory infections, Redundant skin, Scapular winging, Scoliosis, Short distal phalanx of finger, Short finger, Short foot, Short metacarpal, Short metatarsal, Short palm, Short phalanx of finger, Short stature, Shortening of all phalanges of fingers, Slow-growing hair, Smooth philtrum, Sparse and thin eyebrow, Sparse eyelashes, Sparse hair, Sparse lateral eyebrow, Sparse scalp hair, Swelling of proximal interphalangeal joints, Thick eyebrow, Thin eyebrow, Thin nail, Thin upper lip vermilion, Triangular face, Underdeveloped nasal alae",oRG
HES1,HES1,1.45948,0,Transcription factor,"BrainSpLMD|3280;Eurexp|euxassay_019489|epithelium, floor plate, floorplate, hindgut, incisor, larynx, lung, metanephros, metatarsus, midgut, molar, neural retina, oesophagus, olfactory, oral epithelium, pancreas, phalanx, pharyngo-tympanic tube, skeleton, stomach, submandibular gland primordium, thymus primordium, thyroid, trachea, urethra, ventricular layer, vibrissa, vomeronasal organ;BrainSpMouseDev|14981",OMIM|139605,oRG
SNTA1,SNTA1,1.45839,4.78e-08,Adapter molecule,BrainSpLMD|6640,"OMIM|601017;HPO|6640|Autosomal dominant inheritance, Prolonged QTc interval, Syncope, Torsade de pointes, Ventricular fibrillation",oRG
BHLHE40,BHLHE40,1.45834,1.95e-12,Transcription factor,BrainSpLMD|8553;BrainSpMouseDev|20655,OMIM|604256,oRG
RP1.104O17.3,RP1.104O17.3,1.4554,7.33e-15,"","","",oRG
FAM84B,FAM84B,1.45354,4.63e-14,Unclassified,"BrainSpLMD|157638;Eurexp|euxassay_012212|choroid plexus, fundus, marginal layer, metanephros, molar, stomach, submandibular gland primordium, vibrissa",OMIM|609483,oRG
VIM,VIM,1.45233,0,Cytoskeletal protein,BrainSpLMD|7431,"OMIM|193060;HPO|7431|Autosomal dominant inheritance, Congenital onset, Diffuse nuclear cataract, Posterior polar cataract, Pulverulent cataract",oRG
SLC9A3R1,SLC9A3R1,1.4478,0,Membrane bound ligand,"BrainSpLMD|9368;Eurexp|euxassay_012152|calyces, epithelium, incisor, liver, marginal layer, mesothelium, midgut, molar, olfactory, pharyngo-tympanic tube, pituitary, rectum, stomach, thymus primordium, trigeminal V, urogenital mesentery, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|26686","OMIM|604990;HPO|9368|Autosomal dominant inheritance, Hyperphosphaturia, Hypophosphatemia, Increased susceptibility to fractures, Nephrolithiasis, Osteopenia, Osteoporosis, Renal phosphate wasting",oRG
TTLL4,TTLL4,1.44359,5.85e-09,Enzyme: Ligase,BrainSpLMD|9654,"",oRG
LAMB2,LAMB2,1.43777,4e-15,Extracellular matrix protein,BrainSpLMD|3913,"OMIM|150325;HPO|3913|Areflexia, Autosomal recessive inheritance, Blindness, Diffuse mesangial sclerosis, Edema, Generalized hypotonia, Hypoplasia of the ciliary body, Hypoplasia of the iris, Hypoproteinemia, Myopia, Neonatal onset, Nephrotic syndrome, Nystagmus, Posterior lenticonus, Proteinuria, Stage 5 chronic kidney disease, Strabismus",oRG
MFGE8,MFGE8,1.43737,0,Adhesion molecule,"BrainSpLMD|4240;Eurexp|euxassay_010873|Meckel's cartilage, epithelium, oesophagus, ovary, pharyngo-tympanic tube, stomach, submandibular gland primordium, ventricular layer;BrainSpMouseDev|17073",OMIM|602281,oRG
TRIM9,TRIM9,1.43707,0,Unclassified,"BrainSpLMD|114088;Eurexp|euxassay_010509|mantle layer, molar, ventricular layer",OMIM|606555,oRG
ITGB8,ITGB8,1.43349,0,Cell surface receptor,"BrainSpLMD|3696;Eurexp|euxassay_011385|axial skeleton, brachial plexus, nasal cavity, optic chiasma, optic nerve, phalanx, submandibular gland primordium, testis, valve, ventricular layer, vibrissa;BrainSpMouseDev|107845",OMIM|604160,oRG
KAZN,KAZN,1.42823,2.22e-16,Unclassified,BrainSpLMD|23254,"",oRG
GNG12,GNG12,1.4265,0,G protein,BrainSpLMD|55970;Eurexp|euxassay_002072|ventricular layer,OMIM|615405,oRG
B3GAT2,B3GAT2,1.42551,0,Enzyme: Transferase;Integral membrane protein,BrainSpLMD|135152;BrainSpMouseDev|93607,OMIM|607497,oRG
PPP2R2C,PPP2R2C,1.42475,5.82e-09,Serine/threonine phosphatase,BrainSpLMD|5522,OMIM|605997,oRG
RCN1,RCN1,1.42327,1.53e-14,Calcium binding protein,"BrainSpLMD|5954;Eurexp|euxassay_006169|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, mantle layer, peripheral nervous system, renal/urinary system, reproductive system, respiratory system, sensory organ, skeleton, tail, ventricular layer, vertebral axis muscle system;BrainSpMouseDev|19435",OMIM|602735,oRG
TANC1,TANC1,1.42326,2.22e-06,Unclassified,"Eurexp|euxassay_012462|mandible, maxilla, metanephros, ventricular layer",OMIM|611397,oRG
MOV10,MOV10,1.42296,1.46e-07,Unclassified,"BrainSpLMD|4343;Eurexp|euxassay_012341|anterior, midgut, olfactory, otic capsule, pituitary, stomach, turbinate bones",OMIM|610742,oRG
PTGFRN,PTGFRN,1.42231,0,Integral membrane protein,"BrainSpLMD|5738;Eurexp|euxassay_007366|axial skeleton, clavicle, floor plate, floorplate, lung, mantle layer, mesenchyme, palatal shelf, penis, sternum, submandibular gland primordium, ventricular layer, vibrissa",OMIM|601204,oRG
C14orf159,C14orf159,1.42171,4.66e-06,"","","",oRG
S100A13,S100A13,1.42151,1.07e-12,Calcium binding protein,BrainSpLMD|6284,OMIM|601989,oRG
SCD,SCD,1.42023,0,Enzyme: Oxidoreductase,"BrainSpLMD|6319;Eurexp|euxassay_012236|adrenal gland, axial skeleton, basal columns, cervico-thoracic, clavicle, dorsal root ganglion, ductus deferens, embryo, facial VII, glossopharyngeal IX, hindgut, incisor, larynx, lens, lobe, lung, mandible, mantle layer, marginal layer, maxilla, mesenchyme, metanephros, midgut, molar, neural retina, nucleus pulposus, orbito-sphenoid, otic capsule, pancreas, petrous part, pharyngo-tympanic tube, pituitary, rectum, rib, skeletal muscle, stomach, submandibular gland primordium, thoracic, thymus primordium, trachea, trigeminal V, turbinate, urethra, vagus X, vault of skull, ventral grey horn, ventricular layer, vestibulocochlear VIII, vibrissa",OMIM|604031,oRG
RFX4,RFX4,1.41696,0,DNA binding protein,BrainSpLMD|5992;Eurexp|euxassay_005798|ventricular layer;BrainSpMouseDev|46978,OMIM|603958,oRG
MYO1E,MYO1E,1.41604,3e-15,Motor protein,BrainSpLMD|4643,"OMIM|601479;HPO|4643|Autosomal recessive inheritance, Chronic kidney disease, Edema, Focal segmental glomerulosclerosis, Hematuria, Hypoalbuminemia, Nephrotic syndrome, Progressive, Proteinuria, Tubular atrophy",oRG
PLIN3,PLIN3,1.41137,5.07e-07,Transport/cargo protein,"BrainSpLMD|10226;Eurexp|euxassay_007119|bladder, choroid plexus, metanephros, midgut, nasal septum, nucleus pulposus, skeletal muscle, stomach, turbinate bones, urethra, vascular element",OMIM|602702,oRG
SFXN5,SFXN5,1.41049,0,Transport/cargo protein,BrainSpLMD|94097;Eurexp|euxassay_014475|ventricular layer,OMIM|615572,oRG
CRYL1,CRYL1,1.41009,2.2e-10,Enzyme: Oxidoreductase,"BrainSpLMD|51084;Eurexp|euxassay_006081|epithelium, hindgut, midgut, olfactory, rectum, respiratory, thymus primordium",OMIM|609877,oRG
CA2,CA2,1.40535,1.05e-11,Enzyme: Carbonic anhydrase,"BrainSpLMD|760;Eurexp|euxassay_018564|Meckel's cartilage, bladder, choroid plexus, cochlear duct, fundus region, incisor, lateral recess, lobe, lumen, lung, molar, rectum;BrainSpMouseDev|12134","OMIM|611492;HPO|760|Abnormality of dental morphology, Abnormality of epiphysis morphology, Abnormality of the renal tubule, Anemia, Aseptic necrosis, Autosomal recessive inheritance, Basal ganglia calcification, Bone pain, Carious teeth, Cerebral calcification, Cranial hyperostosis, Dental malocclusion, Diaphyseal sclerosis, Distal renal tubular acidosis, Elevated serum acid phosphatase, Extramedullary hematopoiesis, Failure to thrive, Genu valgum, Global developmental delay, Hepatomegaly, Hepatosplenomegaly, Intellectual disability, Mandibular prognathia, Optic nerve compression, Osteopetrosis, Periodic hypokalemic paresis, Peripheral neuropathy, Recurrent fractures, Reduced bone mineral density, Short stature, Splenomegaly, Thrombocytopenia, Visual loss",oRG
NUCB1,NUCB1,1.39802,8.38e-09,Calcium binding protein,"",OMIM|601323,oRG
RP3.418C23.2,RP3.418C23.2,1.39522,2.66e-15,"","","",oRG
LRRC17,LRRC17,1.38923,0,Unclassified,BrainSpLMD|10234,"",oRG
ABHD4,ABHD4,1.38885,0,Unclassified,"BrainSpLMD|63874;Eurexp|euxassay_001761|dorsal root ganglion, marginal layer, trigeminal V, ventricular layer;BrainSpMouseDev|69666","",oRG
GPC1,GPC1,1.38742,1.9e-08,Cell surface receptor,"BrainSpLMD|2817;Eurexp|euxassay_007466|cervical, cervico-thoracic, clavicle, cochlea, diaphragm, dorsal root ganglion, exoccipital bone, extrinsic ocular muscle, facial VII, femur, fibula, glossopharyngeal IX, humerus, incisor, lip, lung, mandible, mantle layer, marginal layer, maxilla, mesenchyme, metanephros, midgut, molar, neural retina, nucleus pulposus, olfactory, orbito-sphenoid, pancreas, pelvic girdle, radius, rest of mesenchyme, rib, saccule, skeletal muscle, sternum, stomach, submandibular gland primordium, thoracic, thymus primordium, tibia, trigeminal V, ulna, vagus X, valve, vault of skull, ventral grey horn, ventricular layer, vertebral axis muscle system, vestibulocochlear VIII, vibrissa",OMIM|600395,oRG
